biome	ntaxa.x	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs.x	ntaxa.y	pd.obs	pd.rand.mean	pd.rand.sd	pd.obs.rank	pd.obs.z	pd.obs.p	runs.y
unique.animals	18	1.2631016367058823	2.1962512096645685	0.19129562504566713	1	-4.878049734466848	9.99000999000999e-4	1000	18	9.031818364999996	15.136584527661999	1.5045919215379764	1	-4.057423195800348	9.99000999000999e-4	1000
unique.plants	11	2.3186287912727273	2.1921649137838544	0.2538857578545454	684	0.4981133189886364	0.6833166833166833	1000	11	9.927756032999998	10.440423308390997	1.173278684930925	327	-0.4369526882022764	0.32667332667332666	1000
unique.env	12	2.2736947982272726	2.191931362046394	0.250169228109722	622	0.32683250773359646	0.6213786213786214	1000	12	11.261879729999997	11.194284923048997	1.278306567861261	535	0.05287840072987581	0.5344655344655345	1000
