,Sample,Dataset,biome_0,biome_1,biome_2,biome_3,biome_4,family,category,mammals
ERS1418477,ERS1418477,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418479,ERS1418479,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418480,ERS1418480,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418481,ERS1418481,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418482,ERS1418482,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418484,ERS1418484,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418486,ERS1418486,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418487,ERS1418487,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418488,ERS1418488,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1418490,ERS1418490,MGYS00001291,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS1455389,ERS1455389,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1455390,ERS1455390,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1455391,ERS1455391,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1459885,ERS1459885,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1459886,ERS1459886,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1459887,ERS1459887,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1459888,ERS1459888,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
