,Sample,Dataset,biome_0,biome_1,biome_2,biome_3,biome_4,family,category,mammals
ERS846450,ERS846450,MGYS00002018,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS846452,ERS846452,MGYS00002018,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS846457,ERS846457,MGYS00002018,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS846460,ERS846460,MGYS00002018,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS846462,ERS846462,MGYS00002018,root,Environmental,Terrestrial,Soil,Grasslands,NA,Environmental,Others
ERS846464,ERS846464,MGYS00002018,root,Environmental,Terrestrial,Soil,Grasslands,NA,Environmental,Others
ERS846465,ERS846465,MGYS00002018,root,Environmental,Terrestrial,Soil,Grasslands,NA,Environmental,Others
ERS846466,ERS846466,MGYS00002018,root,Environmental,Terrestrial,Soil,Grasslands,NA,Environmental,Others
ERS846467,ERS846467,MGYS00002018,root,Environmental,Terrestrial,Soil,Grasslands,NA,Environmental,Others
ERS846468,ERS846468,MGYS00002018,root,Environmental,Terrestrial,Soil,Grasslands,NA,Environmental,Others
ERS970171,ERS970171,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970200,ERS970200,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970208,ERS970208,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970213,ERS970213,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970222,ERS970222,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970227,ERS970227,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970241,ERS970241,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970242,ERS970242,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970310,ERS970310,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970319,ERS970319,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970335,ERS970335,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970370,ERS970370,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970384,ERS970384,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970393,ERS970393,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970396,ERS970396,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970401,ERS970401,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
ERS970416,ERS970416,MGYS00001225,root,Host-associated,Mammalia,Digestive system,Large intestine,Suidae,Animal,Mammalia
SRS1367454,SRS1367454,MGYS00002134,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
SRS1367458,SRS1367458,MGYS00002134,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
SRS1367460,SRS1367460,MGYS00002134,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
SRS1367461,SRS1367461,MGYS00002134,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
SRS429584,SRS429584,MGYS00000562,root,Host-associated,Mammalia,Digestive system,Stomach,Bovidae,Animal,Mammalia
SRS697243,SRS697243,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697332,SRS697332,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697336,SRS697336,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697337,SRS697337,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697338,SRS697338,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697339,SRS697339,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697340,SRS697340,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697341,SRS697341,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697342,SRS697342,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697346,SRS697346,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697347,SRS697347,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS697348,SRS697348,MGYS00000989,root,Environmental,Terrestrial,Soil,Sand,NA,Environmental,Others
SRS963313,SRS963313,MGYS00003658,root,Environmental,Aquatic,Freshwater,Groundwater,NA,Environmental,Others
SRS963594,SRS963594,MGYS00003658,root,Environmental,Aquatic,Freshwater,Groundwater,NA,Environmental,Others
SRS963627,SRS963627,MGYS00003658,root,Environmental,Aquatic,Freshwater,Groundwater,NA,Environmental,Others
F14_Common_Bream,F14_Common_Bream,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,feces,Cyprinidae,Animal,Others
F141_Wood_Sandpiper,F141_Wood_Sandpiper,Vertebrata,root,Host-associated,Aves,Charadriiformes,feces,Scolopacidae,Animal,Others
F144_Wood_Sandpiper,F144_Wood_Sandpiper,Vertebrata,root,Host-associated,Aves,Charadriiformes,feces,Scolopacidae,Animal,Others
F157a_European_Toad,F157a_European_Toad,Vertebrata,root,Host-associated,Amphibia,Anura,feces,Bufonidae,Animal,Others
F157b_European_Toad,F157b_European_Toad,Vertebrata,root,Host-associated,Amphibia,Anura,feces,Bufonidae,Animal,Others
F241_Great_Cormorant,F241_Great_Cormorant,Vertebrata,root,Host-associated,Aves,Pelecaniformes,feces,Phalacrocoracidae,Animal,Others
F300_Asp,F300_Asp,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,feces,Cyprinidae,Animal,Others
F302_Northern_Pike,F302_Northern_Pike,Vertebrata,root,Host-associated,Actinopterygii,Esociformes,feces,Esocidae,Animal,Others
F315_Northern_Pike,F315_Northern_Pike,Vertebrata,root,Host-associated,Actinopterygii,Esociformes,feces,Esocidae,Animal,Others
F42_Fallow_Deer,F42_Fallow_Deer,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Cervidae,Animal,Mammalia
F44_Fallow_Deer,F44_Fallow_Deer,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Cervidae,Animal,Mammalia
F90_Domestic_Dog,F90_Domestic_Dog,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Canidae,Animal,Mammalia
X1_Eurasian_Beaver,X1_Eurasian_Beaver,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Castoridae,Animal,Mammalia
X10_House_Mouse,X10_House_Mouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Muridae,Animal,Mammalia
X101_Horse,X101_Horse,Vertebrata,root,Host-associated,Mammalia,Perissodactyla,feces,Equidae,Animal,Mammalia
X102_Kulan,X102_Kulan,Vertebrata,root,Host-associated,Mammalia,Perissodactyla,feces,Equidae,Animal,Mammalia
X103_Eurasian_Blackcap,X103_Eurasian_Blackcap,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Sylviidae,Animal,Others
X104_European_Robin,X104_European_Robin,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Turdidae,Animal,Others
X105_Eurasian_Teal,X105_Eurasian_Teal,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X106_Eurasian_Teal,X106_Eurasian_Teal,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X107_House_Mouse,X107_House_Mouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Muridae,Animal,Mammalia
X108_Striped_Desert_Hamster,X108_Striped_Desert_Hamster,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Cricetidae,Animal,Mammalia
X109_Red_Fox,X109_Red_Fox,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Canidae,Animal,Mammalia
X11_Onager,X11_Onager,Vertebrata,root,Host-associated,Mammalia,Perissodactyla,feces,Equidae,Animal,Mammalia
X110_Noctule,X110_Noctule,Vertebrata,root,Host-associated,Mammalia,Chiroptera,gut,Vespertilionidae,Animal,Mammalia
X111_West_European_Hedgehog,X111_West_European_Hedgehog,Vertebrata,root,Host-associated,Mammalia,Insectivora,feces,Erinaceidae,Animal,Mammalia
X112_Eurasian_Sparrowhawk,X112_Eurasian_Sparrowhawk,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Accipitridae,Animal,Others
X113_Eurasian_Woodcock,X113_Eurasian_Woodcock,Vertebrata,root,Host-associated,Aves,Charadriiformes,gut,Scolopacidae,Animal,Others
X114_fail_Hooded_Crow,X114_fail_Hooded_Crow,Vertebrata,root,Host-associated,Aves,Passeriformes,gut,Corvidae,Animal,Others
X115_Common_Kestrel,X115_Common_Kestrel,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Falconidae,Animal,Others
X116_Common_Kestrel,X116_Common_Kestrel,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Falconidae,Animal,Others
X117_Long_eared_Owl,X117_Long_eared_Owl,Vertebrata,root,Host-associated,Aves,Strigiformes,feces,Strigidae,Animal,Others
X119_Ural_Owl,X119_Ural_Owl,Vertebrata,root,Host-associated,Aves,Strigiformes,feces,Strigidae,Animal,Others
X120_Alpine_Shrew,X120_Alpine_Shrew,Vertebrata,root,Host-associated,Mammalia,Soricomorpha,gut,Soricidae,Animal,Mammalia
X121_Raccoon_Dog,X121_Raccoon_Dog,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Canidae,Animal,Mammalia
X122_Wild_Boar,X122_Wild_Boar,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Suidae,Animal,Mammalia
X123_Alpine_Chamois,X123_Alpine_Chamois,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X124_Golden_Jackal,X124_Golden_Jackal,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Canidae,Animal,Mammalia
X125_Common_Carp,X125_Common_Carp,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,feces,Cyprinidae,Animal,Others
X126_White_Stork,X126_White_Stork,Vertebrata,root,Host-associated,Aves,Ciconiiformes,feces,Ciconiidae,Animal,Others
X127_Alpine_Marmot,X127_Alpine_Marmot,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Sciuridae,Animal,Mammalia
X128_Alpine_Marmot,X128_Alpine_Marmot,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Sciuridae,Animal,Mammalia
X129_Alpine_Ibex,X129_Alpine_Ibex,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X13_Wolf,X13_Wolf,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Canidae,Animal,Mammalia
X130_Alpine_Ibex,X130_Alpine_Ibex,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X131_Rock_Ptarmigan,X131_Rock_Ptarmigan,Vertebrata,root,Host-associated,Aves,Galliformes,feces,Phasianidae,Animal,Others
X133_Domestic_Goat,X133_Domestic_Goat,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X134_Domestic_Goat,X134_Domestic_Goat,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X135_Horse,X135_Horse,Vertebrata,root,Host-associated,Mammalia,Perissodactyla,feces,Equidae,Animal,Mammalia
X136_Domestic_Pig,X136_Domestic_Pig,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Suidae,Animal,Mammalia
X137_Gaur,X137_Gaur,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X138_Gaur,X138_Gaur,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X139_Sambar,X139_Sambar,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Cervidae,Animal,Mammalia
X140_Sambar,X140_Sambar,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Cervidae,Animal,Mammalia
X141_Red_cheeked_Gibbon,X141_Red_cheeked_Gibbon,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Hylobatidae,Animal,Mammalia
X144_Cattle,X144_Cattle,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X146_Cattle,X146_Cattle,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X15_Tawny_Owl,X15_Tawny_Owl,Vertebrata,root,Host-associated,Aves,Strigiformes,gut,Strigidae,Animal,Others
X152_Tree_Shrew,X152_Tree_Shrew,Vertebrata,root,Host-associated,Mammalia,Scandentia,feces,Tupaiidae,Animal,Mammalia
X153_Bank_Vole,X153_Bank_Vole,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Cricetidae,Animal,Mammalia
X154_Tree_Shrew,X154_Tree_Shrew,Vertebrata,root,Host-associated,Mammalia,Scandentia,feces,Tupaiidae,Animal,Mammalia
X155_Long_tailed_Field_Mouse,X155_Long_tailed_Field_Mouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Muridae,Animal,Mammalia
X157_Grey_Heron,X157_Grey_Heron,Vertebrata,root,Host-associated,Aves,Ciconiiformes,gut,Ardeidae,Animal,Others
X158_White_tailed_Eagle,X158_White_tailed_Eagle,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Accipitridae,Animal,Others
X159_White_tailed_Eagle,X159_White_tailed_Eagle,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Accipitridae,Animal,Others
X16_Fat_Dormouse,X16_Fat_Dormouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Gliridae,Animal,Mammalia
X164_Greylag_Goose,X164_Greylag_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X169_Great_Cormorant,X169_Great_Cormorant,Vertebrata,root,Host-associated,Aves,Pelecaniformes,feces,Phalacrocoracidae,Animal,Others
X170_Tawny_Owl,X170_Tawny_Owl,Vertebrata,root,Host-associated,Aves,Strigiformes,gut,Strigidae,Animal,Others
X171_Blackbird,X171_Blackbird,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Turdidae,Animal,Others
X172_European_Greenfinch,X172_European_Greenfinch,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Fringillidae,Animal,Others
X174_Great_Tit,X174_Great_Tit,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Paridae,Animal,Others
X179_Roach,X179_Roach,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,gut,Cyprinidae,Animal,Others
X18_West_European_Hedgehog,X18_West_European_Hedgehog,Vertebrata,root,Host-associated,Mammalia,Insectivora,feces,Erinaceidae,Animal,Mammalia
X180_Roach,X180_Roach,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,gut,Cyprinidae,Animal,Others
X181_Common_Carp,X181_Common_Carp,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,gut,Cyprinidae,Animal,Others
X182_fail_Common_Nase,X182_fail_Common_Nase,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,gut,Cyprinidae,Animal,Others
X183_European_Chub,X183_European_Chub,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,gut,Cyprinidae,Animal,Others
X185_Brown_Trout,X185_Brown_Trout,Vertebrata,root,Host-associated,Actinopterygii,Salmoniformes,gut,Salmonidae,Animal,Others
X186_Brown_Trout,X186_Brown_Trout,Vertebrata,root,Host-associated,Actinopterygii,Salmoniformes,gut,Salmonidae,Animal,Others
X187_fail_Rainbow_Trout,X187_fail_Rainbow_Trout,Vertebrata,root,Host-associated,Actinopterygii,Salmoniformes,feces,Salmonidae,Animal,Others
X188_Brook_Trout,X188_Brook_Trout,Vertebrata,root,Host-associated,Actinopterygii,Salmoniformes,feces,Salmonidae,Animal,Others
X19_European_Ground_Squirrel,X19_European_Ground_Squirrel,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Sciuridae,Animal,Mammalia
X190_Common_House_Gecko,X190_Common_House_Gecko,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Gekkonidae,Animal,Others
X191_Common_House_Gecko,X191_Common_House_Gecko,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Gekkonidae,Animal,Others
X192_Common_Frog,X192_Common_Frog,Vertebrata,root,Host-associated,Amphibia,Anura,feces,Ranidae,Animal,Others
X193_fail_Common_Frog,X193_fail_Common_Frog,Vertebrata,root,Host-associated,Amphibia,Anura,feces,Ranidae,Animal,Others
X194_Agile_Frog,X194_Agile_Frog,Vertebrata,root,Host-associated,Amphibia,Anura,feces,Ranidae,Animal,Others
X195_Domestic_Cat,X195_Domestic_Cat,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Felidae,Animal,Mammalia
X196_Domestic_Cat,X196_Domestic_Cat,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Felidae,Animal,Mammalia
X197_Human,X197_Human,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Hominidae,Animal,Mammalia
X198_Human,X198_Human,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Hominidae,Animal,Mammalia
X199_Human,X199_Human,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Hominidae,Animal,Mammalia
X2_Raccoon_Dog,X2_Raccoon_Dog,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Canidae,Animal,Mammalia
X200_Human,X200_Human,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Hominidae,Animal,Mammalia
X203_Red_Deer,X203_Red_Deer,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Cervidae,Animal,Mammalia
X208_Red_Sheep,X208_Red_Sheep,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X21_Yellow_necked_Field_Mouse,X21_Yellow_necked_Field_Mouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Muridae,Animal,Mammalia
X212_Goose,X212_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X213_Goose,X213_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X214_Goose,X214_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X215_Goose,X215_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X22_European_Rabbit,X22_European_Rabbit,Vertebrata,root,Host-associated,Mammalia,Lagomorpha,feces,Leporidae,Animal,Mammalia
X221_Alpine_Ibex,X221_Alpine_Ibex,Vertebrata,root,Host-associated,Mammalia,Artiodactyla,feces,Bovidae,Animal,Mammalia
X23_Garden_Dormouse,X23_Garden_Dormouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Gliridae,Animal,Mammalia
X230_Carrion_Crow,X230_Carrion_Crow,Vertebrata,root,Host-associated,Aves,Passeriformes,gut,Corvidae,Animal,Others
X231_Brown_Bear,X231_Brown_Bear,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Ursidae,Animal,Mammalia
X232_fail_Brown_Trout,X232_fail_Brown_Trout,Vertebrata,root,Host-associated,Actinopterygii,Salmoniformes,gut,Salmonidae,Animal,Others
X233_Aesculapian_Snake,X233_Aesculapian_Snake,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Colubridae,Animal,Others
X234_Beech_Marten,X234_Beech_Marten,Vertebrata,root,Host-associated,Mammalia,Carnivora,gut,Mustelidae,Animal,Mammalia
X235_Pygmy_Slow_Loris,X235_Pygmy_Slow_Loris,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Lorisidae,Animal,Mammalia
X236_Pygmy_Slow_Loris,X236_Pygmy_Slow_Loris,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Lorisidae,Animal,Mammalia
X237_Red_shanked_Douc_Langur,X237_Red_shanked_Douc_Langur,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Cercopithecidae,Animal,Mammalia
X238_Hanuman_Langur,X238_Hanuman_Langur,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Cercopithecidae,Animal,Mammalia
X239_Delacours_Langur,X239_Delacours_Langur,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Cercopithecidae,Animal,Mammalia
X240_Southern_White_cheeked_Gibbon,X240_Southern_White_cheeked_Gibbon,Vertebrata,root,Host-associated,Mammalia,Primates,feces,Hylobatidae,Animal,Mammalia
X241_Italian_wall_lizard,X241_Italian_wall_lizard,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Lacertidae,Animal,Others
X242_Dalmatian_Tortoise,X242_Dalmatian_Tortoise,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Testudinidae,Animal,Others
X243_Noctule,X243_Noctule,Vertebrata,root,Host-associated,Mammalia,Chiroptera,feces,Vespertilionidae,Animal,Mammalia
X244_Common_House_Martin,X244_Common_House_Martin,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Hirundinidae,Animal,Others
X245_fail_Common_House_Martin,X245_fail_Common_House_Martin,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Hirundinidae,Animal,Others
X246_Great_Spotted_Woodpecker,X246_Great_Spotted_Woodpecker,Vertebrata,root,Host-associated,Aves,Piciformes,feces,Picidae,Animal,Others
X247_Common_Hamster,X247_Common_Hamster,Vertebrata,root,Host-associated,Mammalia,Rodentia,feces,Cricetidae,Animal,Mammalia
X248_Yellow_necked_Field_Mouse,X248_Yellow_necked_Field_Mouse,Vertebrata,root,Host-associated,Mammalia,Rodentia,gut,Muridae,Animal,Mammalia
X250_Common_Nase,X250_Common_Nase,Vertebrata,root,Host-associated,Actinopterygii,Cypriniformes,feces,Cyprinidae,Animal,Others
X251_fail_Slow_Worm,X251_fail_Slow_Worm,Vertebrata,root,Host-associated,Reptilia,Squamata,gut,Anguidae,Animal,Others
X252_Eurasian_Lynx,X252_Eurasian_Lynx,Vertebrata,root,Host-associated,Mammalia,Carnivora,feces,Felidae,Animal,Mammalia
X256_Zander,X256_Zander,Vertebrata,root,Host-associated,Actinopterygii,Perciformes,feces,Percidae,Animal,Others
X257_Eurasian_Woodcock,X257_Eurasian_Woodcock,Vertebrata,root,Host-associated,Aves,Charadriiformes,feces,Scolopacidae,Animal,Others
X258_Eurasian_Magpie,X258_Eurasian_Magpie,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Corvidae,Animal,Others
X259_Mute_Swan,X259_Mute_Swan,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X261_fail_Common_Pipistrelle,X261_fail_Common_Pipistrelle,Vertebrata,root,Host-associated,Mammalia,Chiroptera,gut,Vespertilionidae,Animal,Mammalia
X263_White_Stork,X263_White_Stork,Vertebrata,root,Host-associated,Aves,Ciconiiformes,feces,Ciconiidae,Animal,Others
X264_Eurasian_Magpie,X264_Eurasian_Magpie,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Corvidae,Animal,Others
X265_Western_Marsh_Harrier,X265_Western_Marsh_Harrier,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Accipitridae,Animal,Others
X266_Western_Marsh_Harrier,X266_Western_Marsh_Harrier,Vertebrata,root,Host-associated,Aves,Falconiformes,gut,Accipitridae,Animal,Others
X267_Rook,X267_Rook,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Corvidae,Animal,Others
X268_Rook,X268_Rook,Vertebrata,root,Host-associated,Aves,Passeriformes,feces,Corvidae,Animal,Others
X270_Common_Pheasant,X270_Common_Pheasant,Vertebrata,root,Host-associated,Aves,Galliformes,gut,Phasianidae,Animal,Others
X271_Common_Pheasant,X271_Common_Pheasant,Vertebrata,root,Host-associated,Aves,Galliformes,gut,Phasianidae,Animal,Others
X272_Black_Grouse,X272_Black_Grouse,Vertebrata,root,Host-associated,Aves,Galliformes,feces,Phasianidae,Animal,Others
X274_Brant_Goose,X274_Brant_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X275_Barnacle_Goose,X275_Barnacle_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X276_Barnacle_Goose,X276_Barnacle_Goose,Vertebrata,root,Host-associated,Aves,Anseriformes,feces,Anatidae,Animal,Others
X277_Common_Zingel,X277_Common_Zingel,Vertebrata,root,Host-associated,Actinopterygii,Perciformes,gut,Percidae,Animal,Others
X279_Western_Grey_Kangaroo,X279_Western_Grey_Kangaroo,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Macropodidae,Animal,Mammalia
X280_Western_Grey_Kangaroo,X280_Western_Grey_Kangaroo,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Macropodidae,Animal,Mammalia
X281_Tammar_Wallaby,X281_Tammar_Wallaby,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Macropodidae,Animal,Mammalia
X282_Inland_Forest_Bat,X282_Inland_Forest_Bat,Vertebrata,root,Host-associated,Mammalia,Chiroptera,feces,Vespertilionidae,Animal,Mammalia
X283_Koala,X283_Koala,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Phascolarctidae,Animal,Mammalia
X284_Koala,X284_Koala,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Phascolarctidae,Animal,Mammalia
X285_Short_beaked_Echidna,X285_Short_beaked_Echidna,Vertebrata,root,Host-associated,Mammalia,Monotremata,feces,Tachyglossidae,Animal,Mammalia
X286_Short_beaked_Echidna,X286_Short_beaked_Echidna,Vertebrata,root,Host-associated,Mammalia,Monotremata,feces,Tachyglossidae,Animal,Mammalia
X287_Common_Brushtail,X287_Common_Brushtail,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Phalangeridae,Animal,Mammalia
X288_Common_Brushtail,X288_Common_Brushtail,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Phalangeridae,Animal,Mammalia
X289_Eastern_Grey_Kangaroo,X289_Eastern_Grey_Kangaroo,Vertebrata,root,Host-associated,Mammalia,Diprotodontia,feces,Macropodidae,Animal,Mammalia
X291_Rosenbergs_Monitor,X291_Rosenbergs_Monitor,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Varanidae,Animal,Others
X292_Central_Bearded_Dragon,X292_Central_Bearded_Dragon,Vertebrata,root,Host-associated,Reptilia,Squamata,feces,Agamidae,Animal,Others
X294_Emu,X294_Emu,Vertebrata,root,Host-associated,Aves,Struthioniformes,feces,Dromaiidae,Animal,Others
X295_Emu,X295_Emu,Vertebrata,root,Host-associated,Aves,Struthioniformes,feces,Dromaiidae,Animal,Others
X296_Galah,X296_Galah,Vertebrata,root,Host-associated,Aves,Psittaciformes,feces,Cacatuidae,Animal,Others
X297_Horsfields_Bronze_Cuckoo,X297_Horsfields_Bronze_Cuckoo,Vertebrata,root,Host-associated,Aves,Cuculiformes,feces,Cuculidae,Animal,Others
