Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS970335	MGYS00001225	root	Host-associated	Mammalia	Digestive system	Large intestine	Suidae
ERS1353918	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353922	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353924	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353919	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353925	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353920	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353923	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1353921	MGYS00001254	root	Host-associated	Mammalia	Digestive system	Large intestine	Cricetidae
ERS1418471	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418480	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418481	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418490	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418479	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418484	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418477	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418486	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418475	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418473	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418476	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418472	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418488	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418482	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418469	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1418487	MGYS00001291	root	Environmental	Aquatic	Marine	Coastal	NA
ERS1459889	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1459887	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1459888	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1459886	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1455390	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1455389	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1455391	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1459885	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1459890	MGYS00001321	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	NA
ERS1474378	MGYS00001380	root	Host-associated	Mammalia	Digestive system	Fecal	Muridae
ERS1474385	MGYS00001380	root	Host-associated	Mammalia	Digestive system	Fecal	Muridae
ERS1286102	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286734	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
