Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
X1_Eurasian_Beaver	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Castoridae
X2_Raccoon_Dog	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X3_Alpine_Chamois	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X4_Red_Fox	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X5_European_Hare	Vertebrata	root	Host-associated	Mammalia	Lagomorpha	feces	Leporidae
X6_Common_Hamster	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Cricetidae
X7_European_Otter	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X10_House_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X11_Onager	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X13_Wolf	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X15_Tawny_Owl	Vertebrata	root	Host-associated	Aves	Strigiformes	gut	Strigidae
X16_Fat_Dormouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Gliridae
X18_West_European_Hedgehog	Vertebrata	root	Host-associated	Mammalia	Insectivora	feces	Erinaceidae
X19_European_Ground_Squirrel	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Sciuridae
X21_Yellow_necked_Field_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X22_European_Rabbit	Vertebrata	root	Host-associated	Mammalia	Lagomorpha	feces	Leporidae
X23_Garden_Dormouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Gliridae
X30_Beech_Marten	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X31_Chicken	Vertebrata	root	Host-associated	Aves	Galliformes	feces	Phasianidae
X32_Greylag_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X33_Wild_Turkey	Vertebrata	root	Host-associated	Aves	Galliformes	feces	Phasianidae
X34_Mallard_Duck	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X36_Agile_Frog	Vertebrata	root	Host-associated	Amphibia	Anura	feces	Ranidae
X37_Bank_Vole	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Cricetidae
X38_Great_Tit	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Paridae
X40_Bactrian_Camel	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Camelidae
X41_Pika	Vertebrata	root	Host-associated	Mammalia	Lagomorpha	feces	Leporidae
X42_Goitered_Gazelle	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X43_European_Badger	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X44_Meadow_Viper	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Viperidae
X46_European_Nightjar	Vertebrata	root	Host-associated	Aves	Caprimulgiformes	feces	Caprimulgidae
X50_Song_Thrush	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Turdidae
X60_European_Chub	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X64_Eurasian_Ruffe	Vertebrata	root	Host-associated	Actinopterygii	Perciformes	feces	Percidae
F42_Fallow_Deer	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
F157a_European_Toad	Vertebrata	root	Host-associated	Amphibia	Anura	feces	Bufonidae
X71_Fire_Salamander	Vertebrata	root	Host-associated	Amphibia	Caudata	feces	Salamandridae
X72_Ural_Owl	Vertebrata	root	Host-associated	Aves	Strigiformes	feces	Strigidae
X74_Steppe_Polecat	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X76_European_Polecat	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X77_Onager	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X79_Eurasian_Beaver	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Castoridae
X80_European_Otter	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X81_Wolf	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X82_Eurasian_Ruffe	Vertebrata	root	Host-associated	Actinopterygii	Perciformes	feces	Percidae
X83_Common_Rudd	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X84_Common_Chiffchaff	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Sylviidae
X85_Domestic_Dog	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X87_Garden_Dormouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Gliridae
X89_Fat_Dormouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Gliridae
X90_Water_Rail	Vertebrata	root	Host-associated	Aves	Gruiformes	feces	Rallidae
X91_Dunnock	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Passeridae
X92_Lesser_White_toothed_Shrew	Vertebrata	root	Host-associated	Mammalia	Soricomorpha	feces	Soricidae
X93_Red_Sheep	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X94_Mangalica	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Suidae
X95_Meadow_Viper	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Viperidae
X101_Horse	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X102_Kulan	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X103_Eurasian_Blackcap	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Sylviidae
X104_European_Robin	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Turdidae
X105_Eurasian_Teal	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X106_Eurasian_Teal	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X107_House_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X108_Striped_Desert_Hamster	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Cricetidae
X109_Red_Fox	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X110_Noctule	Vertebrata	root	Host-associated	Mammalia	Chiroptera	gut	Vespertilionidae
X111_West_European_Hedgehog	Vertebrata	root	Host-associated	Mammalia	Insectivora	feces	Erinaceidae
X112_Eurasian_Sparrowhawk	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Accipitridae
X113_Eurasian_Woodcock	Vertebrata	root	Host-associated	Aves	Charadriiformes	gut	Scolopacidae
X115_Common_Kestrel	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Falconidae
X116_Common_Kestrel	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Falconidae
X117_Long_eared_Owl	Vertebrata	root	Host-associated	Aves	Strigiformes	feces	Strigidae
X119_Ural_Owl	Vertebrata	root	Host-associated	Aves	Strigiformes	feces	Strigidae
X120_Alpine_Shrew	Vertebrata	root	Host-associated	Mammalia	Soricomorpha	gut	Soricidae
X121_Raccoon_Dog	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X122_Wild_Boar	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Suidae
X123_Alpine_Chamois	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X124_Golden_Jackal	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
F157b_European_Toad	Vertebrata	root	Host-associated	Amphibia	Anura	feces	Bufonidae
X125_Common_Carp	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X126_White_Stork	Vertebrata	root	Host-associated	Aves	Ciconiiformes	feces	Ciconiidae
X127_Alpine_Marmot	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Sciuridae
X128_Alpine_Marmot	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Sciuridae
X129_Alpine_Ibex	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X130_Alpine_Ibex	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X131_Rock_Ptarmigan	Vertebrata	root	Host-associated	Aves	Galliformes	feces	Phasianidae
X133_Domestic_Goat	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X134_Domestic_Goat	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X135_Horse	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X136_Domestic_Pig	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Suidae
X157_Grey_Heron	Vertebrata	root	Host-associated	Aves	Ciconiiformes	gut	Ardeidae
X158_White_tailed_Eagle	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Accipitridae
X137_Gaur	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X138_Gaur	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X139_Sambar	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
X140_Sambar	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
X190_Common_House_Gecko	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Gekkonidae
X191_Common_House_Gecko	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Gekkonidae
X164_Greylag_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X192_Common_Frog	Vertebrata	root	Host-associated	Amphibia	Anura	feces	Ranidae
X170_Tawny_Owl	Vertebrata	root	Host-associated	Aves	Strigiformes	gut	Strigidae
X152_Tree_Shrew	Vertebrata	root	Host-associated	Mammalia	Scandentia	feces	Tupaiidae
X171_Blackbird	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Turdidae
X172_European_Greenfinch	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Fringillidae
X174_Great_Tit	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Paridae
X153_Bank_Vole	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Cricetidae
X144_Cattle	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X146_Cattle	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X169_Great_Cormorant	Vertebrata	root	Host-associated	Aves	Pelecaniformes	feces	Phalacrocoracidae
X159_White_tailed_Eagle	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Accipitridae
X194_Agile_Frog	Vertebrata	root	Host-associated	Amphibia	Anura	feces	Ranidae
X188_Brook_Trout	Vertebrata	root	Host-associated	Actinopterygii	Salmoniformes	feces	Salmonidae
X154_Tree_Shrew	Vertebrata	root	Host-associated	Mammalia	Scandentia	feces	Tupaiidae
X155_Long_tailed_Field_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X141_Red_cheeked_Gibbon	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hylobatidae
X179_Roach	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	gut	Cyprinidae
X180_Roach	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	gut	Cyprinidae
X181_Common_Carp	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	gut	Cyprinidae
X183_European_Chub	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	gut	Cyprinidae
X186_Brown_Trout	Vertebrata	root	Host-associated	Actinopterygii	Salmoniformes	gut	Salmonidae
F241_Great_Cormorant	Vertebrata	root	Host-associated	Aves	Pelecaniformes	feces	Phalacrocoracidae
X195_Domestic_Cat	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X196_Domestic_Cat	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X197_Human	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hominidae
X198_Human	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hominidae
X199_Human	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hominidae
X200_Human	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hominidae
X203_Red_Deer	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
X208_Red_Sheep	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X212_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X213_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X214_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X215_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
F300_Asp	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
F302_Northern_Pike	Vertebrata	root	Host-associated	Actinopterygii	Esociformes	feces	Esocidae
F315_Northern_Pike	Vertebrata	root	Host-associated	Actinopterygii	Esociformes	feces	Esocidae
F144_Wood_Sandpiper	Vertebrata	root	Host-associated	Aves	Charadriiformes	feces	Scolopacidae
X247_Common_Hamster	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Cricetidae
X252_Eurasian_Lynx	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X313_Red_Deer	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
X314_Red_Deer	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
X231_Brown_Bear	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Ursidae
X233_Aesculapian_Snake	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Colubridae
X235_Pygmy_Slow_Loris	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Lorisidae
X236_Pygmy_Slow_Loris	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Lorisidae
X237_Red_shanked_Douc_Langur	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Cercopithecidae
X238_Hanuman_Langur	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Cercopithecidae
X239_Delacours_Langur	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Cercopithecidae
X240_Southern_White_cheeked_Gibbon	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hylobatidae
X241_Italian_wall_lizard	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Lacertidae
X242_Dalmatian_Tortoise	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Testudinidae
X243_Noctule	Vertebrata	root	Host-associated	Mammalia	Chiroptera	feces	Vespertilionidae
X230_Carrion_Crow	Vertebrata	root	Host-associated	Aves	Passeriformes	gut	Corvidae
X234_Beech_Marten	Vertebrata	root	Host-associated	Mammalia	Carnivora	gut	Mustelidae
X244_Common_House_Martin	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Hirundinidae
X246_Great_Spotted_Woodpecker	Vertebrata	root	Host-associated	Aves	Piciformes	feces	Picidae
X248_Yellow_necked_Field_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X250_Common_Nase	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X256_Zander	Vertebrata	root	Host-associated	Actinopterygii	Perciformes	feces	Percidae
X257_Eurasian_Woodcock	Vertebrata	root	Host-associated	Aves	Charadriiformes	feces	Scolopacidae
X258_Eurasian_Magpie	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Corvidae
X259_Mute_Swan	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X263_White_Stork	Vertebrata	root	Host-associated	Aves	Ciconiiformes	feces	Ciconiidae
X264_Eurasian_Magpie	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Corvidae
X265_Western_Marsh_Harrier	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Accipitridae
X266_Western_Marsh_Harrier	Vertebrata	root	Host-associated	Aves	Falconiformes	gut	Accipitridae
X267_Rook	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Corvidae
X268_Rook	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Corvidae
X270_Common_Pheasant	Vertebrata	root	Host-associated	Aves	Galliformes	gut	Phasianidae
X271_Common_Pheasant	Vertebrata	root	Host-associated	Aves	Galliformes	gut	Phasianidae
X272_Black_Grouse	Vertebrata	root	Host-associated	Aves	Galliformes	feces	Phasianidae
X274_Brant_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X275_Barnacle_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X276_Barnacle_Goose	Vertebrata	root	Host-associated	Aves	Anseriformes	feces	Anatidae
X277_Common_Zingel	Vertebrata	root	Host-associated	Actinopterygii	Perciformes	gut	Percidae
X279_Western_Grey_Kangaroo	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Macropodidae
X280_Western_Grey_Kangaroo	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Macropodidae
X281_Tammar_Wallaby	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Macropodidae
X282_Inland_Forest_Bat	Vertebrata	root	Host-associated	Mammalia	Chiroptera	feces	Vespertilionidae
X283_Koala	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Phascolarctidae
X284_Koala	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Phascolarctidae
X285_Short_beaked_Echidna	Vertebrata	root	Host-associated	Mammalia	Monotremata	feces	Tachyglossidae
X286_Short_beaked_Echidna	Vertebrata	root	Host-associated	Mammalia	Monotremata	feces	Tachyglossidae
X287_Common_Brushtail	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Phalangeridae
X288_Common_Brushtail	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Phalangeridae
X289_Eastern_Grey_Kangaroo	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Macropodidae
X291_Rosenbergs_Monitor	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Varanidae
X292_Central_Bearded_Dragon	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Agamidae
X294_Emu	Vertebrata	root	Host-associated	Aves	Struthioniformes	feces	Dromaiidae
X295_Emu	Vertebrata	root	Host-associated	Aves	Struthioniformes	feces	Dromaiidae
X296_Galah	Vertebrata	root	Host-associated	Aves	Psittaciformes	feces	Cacatuidae
X297_Horsfields_Bronze_Cuckoo	Vertebrata	root	Host-associated	Aves	Cuculiformes	feces	Cuculidae
X298_Horsfields_Bronze_Cuckoo	Vertebrata	root	Host-associated	Aves	Cuculiformes	feces	Cuculidae
X300_Shy_Heathwren	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Acanthizidae
X301_European_Hare	Vertebrata	root	Host-associated	Mammalia	Lagomorpha	feces	Leporidae
X325_Asp	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X326_Silver_Bream	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X327_Silver_Bream	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X328_Prussian_Carp	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X329_Bleak	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X330_Ide	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
X331_Harbor_Porpoise	Vertebrata	root	Host-associated	Mammalia	Cetacea	feces	Phocoenidae
X332_Harbor_Porpoise	Vertebrata	root	Host-associated	Mammalia	Cetacea	feces	Phocoenidae
X333_Gray_Seal	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Phocidae
X334_Gray_Seal	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Phocidae
X335_Harbor_Seal	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Phocidae
X336_Sei_Whale	Vertebrata	root	Host-associated	Mammalia	Cetacea	feces	Balaenopteridae
X337_Sowerbys_Beaked_Whale	Vertebrata	root	Host-associated	Mammalia	Cetacea	feces	Ziphiidae
X338_White_beaked_Dolphin	Vertebrata	root	Host-associated	Mammalia	Cetacea	feces	Delphinidae
X339_White_beaked_Dolphin	Vertebrata	root	Host-associated	Mammalia	Cetacea	feces	Delphinidae
X340_Western_Lowland_Gorilla	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hominidae
X341_Western_Lowland_Gorilla	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Hominidae
X342_European_Green_Toad	Vertebrata	root	Host-associated	Amphibia	Anura	feces	Bufonidae
X343_Sand_Lizard	Vertebrata	root	Host-associated	Reptilia	Squamata	gut	Lacertidae
X344_Indian_Rhinoceros	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Rhinocerotidae
X346_Ground_Pangolin	Vertebrata	root	Host-associated	Mammalia	Pholidota	feces	Manidae
X347_Brown_Bear	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Ursidae
X348_European_Rabbit	Vertebrata	root	Host-associated	Mammalia	Lagomorpha	gut	Leporidae
X349_Smooth_Newt	Vertebrata	root	Host-associated	Amphibia	Caudata	feces	Salamandridae
X350_Smooth_Newt	Vertebrata	root	Host-associated	Amphibia	Caudata	feces	Salamandridae
X351_Grass_Snake	Vertebrata	root	Host-associated	Reptilia	Squamata	feces	Colubridae
X352_Kinkajou	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Procyonidae
X353_Raccoon	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Procyonidae
X354_Hoffmanns_Two_toed_Sloth	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Megalonychidae
X355_Hoffmanns_Two_toed_Sloth	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Megalonychidae
X356_Northern_Tamandua	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Myrmecophagidae
X357_Northern_Tamandua	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Myrmecophagidae
X358_Brown_throated_Sloth	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Bradypodidae
X359_Brown_throated_Sloth	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Bradypodidae
X360_White_tailed_Deer	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
X362_Gray_Four_eyed_Opossum	Vertebrata	root	Host-associated	Mammalia	Didelphimorphia	gut	Didelphidae
X363_Desmarests_Spiny_Pocket_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Heteromyidae
X368_European_Ground_Squirrel	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Sciuridae
X369_Koala	Vertebrata	root	Host-associated	Mammalia	Diprotodontia	feces	Phascolarctidae
X370_African_Bush_Elephant	Vertebrata	root	Host-associated	Mammalia	Proboscidea	feces	Elephantidae
X371_Linnaeus_Two_toed_Sloth	Vertebrata	root	Host-associated	Mammalia	Pilosa	feces	Megalonychidae
X372_Emu	Vertebrata	root	Host-associated	Aves	Struthioniformes	feces	Dromaiidae
X373_Least_Weasel	Vertebrata	root	Host-associated	Mammalia	Carnivora	gut	Mustelidae
X375_European_Pine_Marten	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Mustelidae
X376_Kulan	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X377_Fat_Sand_Rat	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Muridae
X378_Fat_Sand_Rat	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Muridae
X381_Wild_Boar	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Suidae
X382_Arctic_Wolf	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X383_Arctic_Wolf	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
X384_Eurasian_Lynx	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X389_Indian_Rhinoceros	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Rhinocerotidae
X391_European_Ground_Squirrel	Vertebrata	root	Host-associated	Mammalia	Rodentia	feces	Sciuridae
X392_House_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X393_European_Rabbit	Vertebrata	root	Host-associated	Mammalia	Lagomorpha	feces	Leporidae
X394_Przewalski_horse	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X395_Przewalski_horse	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X396_Morelets_crocodile	Vertebrata	root	Host-associated	Reptilia	Crocodilia	feces	Crocodylidae
X397_Penguin	Vertebrata	root	Host-associated	Aves	Sphenisciformes	feces	Spheniscidae
X398_Eurasian_Reed_Warbler	Vertebrata	root	Host-associated	Aves	Passeriformes	feces	Sylviidae
X399_Lion	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X400_House_Mouse	Vertebrata	root	Host-associated	Mammalia	Rodentia	gut	Muridae
X403_Chacma_Baboon	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Cercopithecidae
X404_Brown_Greater_Galago	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Galagidae
X405_Nile_Crocodile	Vertebrata	root	Host-associated	Reptilia	Crocodilia	feces	Crocodylidae
X407_African_Bush_Elephant	Vertebrata	root	Host-associated	Mammalia	Proboscidea	feces	Elephantidae
X408_African_Bush_Elephant	Vertebrata	root	Host-associated	Mammalia	Proboscidea	feces	Elephantidae
X409_Impala	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X410_Impala	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X411_Leopard	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X412_Lion	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X413_Lion	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Felidae
X414_Vervet_Monkey	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Cercopithecidae
X415_White_Rhinoceros	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Rhinocerotidae
X416_White_Rhinoceros	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Rhinocerotidae
X417_Giraffe	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Giraffidae
X418_Giraffe	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Giraffidae
X423_Quagga	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X424_Quagga	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X421_Common_Hippopotamus	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Hippopotamidae
X422_Common_Hippopotamus	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Hippopotamidae
X419_African_Buffalo	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X420_Cattle	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Bovidae
X425_Emu	Vertebrata	root	Host-associated	Aves	Struthioniformes	feces	Dromaiidae
X426_Ural_Owl	Vertebrata	root	Host-associated	Aves	Strigiformes	feces	Strigidae
X427_Great_Spotted_Woodpecker	Vertebrata	root	Host-associated	Aves	Piciformes	feces	Picidae
X429_Giraffe	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Giraffidae
X430_Giraffe	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Giraffidae
X431_Quagga	Vertebrata	root	Host-associated	Mammalia	Perissodactyla	feces	Equidae
X432_Vervet_Monkey	Vertebrata	root	Host-associated	Mammalia	Primates	feces	Cercopithecidae
